epoch,lr-SGD,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
,0.08000266017777913,49,,,,,,
0,,49,,0.2604166865348816,,6.934377193450928,,
,0.08001085893521431,99,,,,,,
0,,99,,0.5208333730697632,,6.908376216888428,,
,0.08002459725408884,149,,,,,,
0,,149,,0.0,,6.898946285247803,,
,0.08004387492299603,199,,,,,,
0,,199,,0.5208333730697632,,6.900522708892822,,
,0.08006869164528796,249,,,,,,
0,,249,,0.2604166865348816,,6.903299808502197,,
,0.0800990470390821,299,,,,,,
0,,299,,0.0,,6.8837890625,,
,0.08013494063726523,349,,,,,,
0,,349,,0.0,,6.849904537200928,,
,0.08017637188750193,399,,,,,,
0,,399,,0.78125,,6.81011962890625,,
,0.08022334015224242,449,,,,,,
0,,449,,0.0,,6.750844478607178,,
,0.08027584470873295,499,,,,,,
0,,499,,0.0,,6.64794397354126,,
,0.08033388474902614,549,,,,,,
0,,549,,0.2604166865348816,,6.59790563583374,,
,0.08039745937999399,599,,,,,,
0,,599,,0.0,,6.5284271240234375,,
,0.0804665676233417,649,,,,,,
0,,649,,0.2604166865348816,,6.580408573150635,,
,0.08054120841562207,699,,,,,,
0,,699,,0.78125,,6.578155517578125,,
,0.08062138060825275,749,,,,,,
0,,749,,0.5208333730697632,,6.44103479385376,,
,0.08070708296753304,799,,,,,,
0,,799,,0.5208333730697632,,6.358006954193115,,
,0.08079831417466354,849,,,,,,
0,,849,,0.78125,,6.182759761810303,,
,0.08089507282576625,899,,,,,,
0,,899,,1.8229167461395264,,6.232594966888428,,
,0.08099735743190584,949,,,,,,
0,,949,,1.3020833730697632,,6.14764928817749,,
,0.08110516641911303,999,,,,,,
0,,999,,1.0416667461395264,,6.040194034576416,,
,0.08121849812840876,1049,,,,,,
0,,1049,,2.0833334922790527,,5.928945064544678,,
,0.08133735081582905,1099,,,,,,
0,,1099,,2.0833334922790527,,5.961126804351807,,
,0.0814617226524531,1149,,,,,,
0,,1149,,2.6041667461395264,,5.9052886962890625,,
,0.08159161172443019,1199,,,,,,
0,,1199,,3.3854167461395264,,5.82422399520874,,
,0.08172701603300969,1249,,,,,,
0,,1249,,4.6875,,5.65716028213501,,
,0.08186793349457189,1299,,,,,,
0,,1299,,1.3020833730697632,,5.715309143066406,,
,0.08201436194065992,1349,,,,,,
0,,1349,,3.3854167461395264,,5.587160587310791,,
,0.08216629911801299,1399,,,,,,
0,,1399,,6.25,,5.4481635093688965,,
,0.08232374268860154,1449,,,,,,
0,,1449,,4.427083492279053,,5.524878025054932,,
,0.08248669022966248,1499,,,,,,
0,,1499,,4.1666669845581055,,5.455533504486084,,
,0.08265513923373724,1549,,,,,,
0,,1549,,5.46875,,5.460652828216553,,
,0.08282908710870951,1599,,,,,,
0,,1599,,5.989583492279053,,5.525521755218506,,
,0.08300853117784646,1649,,,,,,
0,,1649,,6.25,,5.129985809326172,,
,0.08319346867983812,1699,,,,,,
0,,1699,,10.15625,,5.154960632324219,,
,0.08338389676884161,1749,,,,,,
0,,1749,,7.03125,,5.037642002105713,,
,0.08357981251452351,1799,,,,,,
0,,1799,,9.114583969116211,,5.067686557769775,,
,0.08378121290210605,1849,,,,,,
0,,1849,,7.2916669845581055,,5.09738302230835,,
,0.08398809483241299,1899,,,,,,
0,,1899,,8.854166984558105,,4.9226250648498535,,
,0.0842004551219171,1949,,,,,,
0,,1949,,7.03125,,5.0434088706970215,,
,0.08441829050278982,1999,,,,,,
0,,1999,,8.854166984558105,,4.946432113647461,,
,0.08464159762295076,2049,,,,,,
0,,2049,,13.020833969116211,,4.811885356903076,,
,0.08487037304612,2099,,,,,,
0,,2099,,11.979166984558105,,4.721842288970947,,
,0.08510461325187035,2149,,,,,,
0,,2149,,10.15625,,4.7403645515441895,,
,0.08534431463568193,2199,,,,,,
0,,2199,,9.895833969116211,,4.7738471031188965,,
,0.08558947350899782,2249,,,,,,
0,,2249,,10.15625,,4.718177318572998,,
,0.08584008609927984,2299,,,,,,
0,,2299,,14.583333969116211,,4.541782855987549,,
,0.08609614855006786,2349,,,,,,
0,,2349,,8.854166984558105,,4.691945552825928,,
,0.08635765692103836,2399,,,,,,
0,,2399,,15.364583969116211,,4.598950386047363,,
,0.08662460718806508,2449,,,,,,
0,,2449,,13.020833969116211,,4.520267486572266,,
,0.08689699524328165,2499,,,,,,
0,,2499,,12.239583969116211,,4.405300140380859,,
